,offline,scenario,n_runs,model_type,model_name,agent_type,agent_name,optimizer,batch_size,lr,momentum,weight_decay,pretrained,freeze_feature_extract,n_epoch,reg_coef,memory_size,dataroot,filelist_root,dataset,output_dir,n_workers,gpuid
0,False,class_iid,2,resnet,ResNet18,exp_replay,GEM,SGD,20,0.001,0.9,0.0001,True,False,1,1.0,15,/media/data/morgan_data/toybox/images,dataloaders,toybox,toybox_gridsearch_outputs,20,3
1,False,class_iid,2,resnet,ResNet18,exp_replay,GEM,SGD,20,0.0001,0.9,0.0001,True,False,1,1.0,15,/media/data/morgan_data/toybox/images,dataloaders,toybox,toybox_gridsearch_outputs,20,3
2,False,class_iid,2,resnet,ResNet18,exp_replay,GEM,SGD,20,1e-05,0.9,0.0001,True,False,1,1.0,15,/media/data/morgan_data/toybox/images,dataloaders,toybox,toybox_gridsearch_outputs,20,3
3,False,class_instance,2,resnet,ResNet18,exp_replay,GEM,SGD,20,0.001,0.9,0.0001,True,False,1,1.0,15,/media/data/morgan_data/toybox/images,dataloaders,toybox,toybox_gridsearch_outputs,20,3
4,False,class_instance,2,resnet,ResNet18,exp_replay,GEM,SGD,20,0.0001,0.9,0.0001,True,False,1,1.0,15,/media/data/morgan_data/toybox/images,dataloaders,toybox,toybox_gridsearch_outputs,20,3
5,False,class_instance,2,resnet,ResNet18,exp_replay,GEM,SGD,20,1e-05,0.9,0.0001,True,False,1,1.0,15,/media/data/morgan_data/toybox/images,dataloaders,toybox,toybox_gridsearch_outputs,20,3
